Value	Name
0x0000	PropertyTagGpsVer
0x0001	PropertyTagGpsLatitudeRef
0x0002	PropertyTagGpsLatitude
0x0003	PropertyTagGpsLongitudeRef
0x0004	PropertyTagGpsLongitude
0x0005	PropertyTagGpsAltitudeRef
0x0006	PropertyTagGpsAltitude
0x0007	PropertyTagGpsGpsTime
0x0008	PropertyTagGpsGpsSatellites
0x0009	PropertyTagGpsGpsStatus
0x000A	PropertyTagGpsGpsMeasureMode
0x000B	PropertyTagGpsGpsDop
0x000C	PropertyTagGpsSpeedRef
0x000D	PropertyTagGpsSpeed
0x000E	PropertyTagGpsTrackRef
0x000F	PropertyTagGpsTrack
0x0010	PropertyTagGpsImgDirRef
0x0011	PropertyTagGpsImgDir
0x0012	PropertyTagGpsMapDatum
0x0013	PropertyTagGpsDestLatRef
0x0014	PropertyTagGpsDestLat
0x0015	PropertyTagGpsDestLongRef
0x0016	PropertyTagGpsDestLong
0x0017	PropertyTagGpsDestBearRef
0x0018	PropertyTagGpsDestBear
0x0019	PropertyTagGpsDestDistRef
0x001A	PropertyTagGpsDestDist
0x00FE	PropertyTagNewSubfileType
0x00FF	PropertyTagSubfileType
0x0100	PropertyTagImageWidth
0x0101	PropertyTagImageHeight
0x0102	PropertyTagBitsPerSample
0x0103	PropertyTagCompression
0x0106	PropertyTagPhotometricInterp
0x0107	PropertyTagThreshHolding
0x0108	PropertyTagCellWidth
0x0109	PropertyTagCellHeight
0x010A	PropertyTagFillOrder
0x010D	PropertyTagDocumentName
0x010E	PropertyTagImageDescription
0x010F	PropertyTagEquipMake
0x0110	PropertyTagEquipModel
0x0111	PropertyTagStripOffsets
0x0112	PropertyTagOrientation
0x0115	PropertyTagSamplesPerPixel
0x0116	PropertyTagRowsPerStrip
0x0117	PropertyTagStripBytesCount
0x0118	PropertyTagMinSampleValue
0x0119	PropertyTagMaxSampleValue
0x011A	PropertyTagXResolution
0x011B	PropertyTagYResolution
0x011C	PropertyTagPlanarConfig
0x011D	PropertyTagPageName
0x011E	PropertyTagXPosition
